,status,ts,ans,confidence
0,EXP_START,1677735020.009878,-1,-1
1,TE1_START,1677735024.311195,-1,-1
2,TE1_END&CONF1_START,1677735050.206902,5,-1
0,CONF1_END&TE2_START,1677735052.211345,-1,5
4,TE2_END&CONF2_START,1677735107.055508,5,-1
0,CONF2_END&TE3_START,1677735109.383926,-1,5
6,TE3_END&CONF3_START,1677735145.755198,4,-1
0,CONF3_END&TE4_START,1677735147.702751,-1,5
8,TE4_END&CONF4_START,1677735160.989578,4,-1
0,CONF4_END&TE5_START,1677735162.844943,-1,5
10,TE5_END&CONF5_START,1677735179.046032,2,-1
0,CONF5_END,1677735180.892572,-1,5
