,status,ts,ans,confidence
0,EXP_START,1676526288.378178,-1,-1
1,TE1_START,1676526308.757898,-1,-1
2,TE1_END&CONF1_START,1676526340.336557,4,-1
0,CONF1_END&TE2_START,1676526341.848586,-1,3
4,TE2_END&CONF2_START,1676526390.718656,1,-1
0,CONF2_END&TE3_START,1676526392.303018,-1,3
6,TE3_END&CONF3_START,1676526464.750844,4,-1
0,CONF3_END&TE4_START,1676526466.407221,-1,4
8,TE4_END&CONF4_START,1676526526.191039,4,-1
0,CONF4_END&TE5_START,1676526527.566453,-1,5
10,TE5_END&CONF5_START,1676526536.882565,3,-1
0,CONF5_END,1676526538.266309,-1,5
