,status,ts,ans,confidence
0,EXP_START,1676873064.781527,-1,-1
1,TE1_START,1676873082.427165,-1,-1
2,TE1_END&CONF1_START,1676873104.605204,2,-1
0,CONF1_END&TE2_START,1676873107.678036,-1,3
4,TE2_END&CONF2_START,1676873164.709116,2,-1
0,CONF2_END&TE3_START,1676873168.069883,-1,2
6,TE3_END&CONF3_START,1676873199.409981,4,-1
0,CONF3_END&TE4_START,1676873200.64226,-1,4
8,TE4_END&CONF4_START,1676873232.630507,2,-1
0,CONF4_END&TE5_START,1676873234.134847,-1,4
10,TE5_END&CONF5_START,1676873290.397558,4,-1
0,CONF5_END,1676873291.765901,-1,1
