,status,ts,ans,confidence
0,EXP_START,1676450938.532437,-1,-1
1,TE1_START,1676450955.074447,-1,-1
2,TE1_END&CONF1_START,1676451024.371146,4,-1
0,CONF1_END&TE2_START,1676451026.549643,-1,5
4,TE2_END&CONF2_START,1676451054.771036,1,-1
0,CONF2_END&TE3_START,1676451056.337712,-1,5
6,TE3_END&CONF3_START,1676451104.071525,2,-1
0,CONF3_END&TE4_START,1676451106.800147,-1,4
8,TE4_END&CONF4_START,1676451140.580839,5,-1
0,CONF4_END&TE5_START,1676451142.212797,-1,5
10,TE5_END&CONF5_START,1676451187.298269,4,-1
0,CONF5_END,1676451189.571408,-1,5
