,status,ts,ans,confidence
0,EXP_START,1676797075.972473,-1,-1
1,TE1_START,1676797094.985318,-1,-1
2,TE1_END&CONF1_START,1676797208.905038,4,-1
0,CONF1_END&TE2_START,1676797211.792691,-1,3
4,TE2_END&CONF2_START,1676797311.283358,4,-1
0,CONF2_END&TE3_START,1676797313.724238,-1,5
6,TE3_END&CONF3_START,1676797371.612779,3,-1
0,CONF3_END&TE4_START,1676797373.980319,-1,5
8,TE4_END&CONF4_START,1676797523.162228,1,-1
0,CONF4_END&TE5_START,1676797526.97118,-1,2
10,TE5_END&CONF5_START,1676797556.734926,5,-1
0,CONF5_END,1676797558.671366,-1,4
