,status,ts,ans,confidence
0,EXP_START,1676455510.753722,-1,-1
1,TE1_START,1676455533.210298,-1,-1
2,TE1_END&CONF1_START,1676455611.457964,4,-1
0,CONF1_END&TE2_START,1676455613.138575,-1,2
4,TE2_END&CONF2_START,1676455645.983449,4,-1
0,CONF2_END&TE3_START,1676455647.389228,-1,4
6,TE3_END&CONF3_START,1676455690.076902,5,-1
0,CONF3_END&TE4_START,1676455691.797297,-1,4
8,TE4_END&CONF4_START,1676455786.60093,5,-1
0,CONF4_END&TE5_START,1676455788.929458,-1,2
10,TE5_END&CONF5_START,1676455894.567387,5,-1
0,CONF5_END,1676455897.130967,-1,1
