,status,ts,ans,confidence
0,EXP_START,1676632445.411418,-1,-1
1,TE1_START,1676632564.968412,-1,-1
2,TE1_END&CONF1_START,1676632627.169508,5,-1
0,CONF1_END&TE2_START,1676632628.737863,-1,5
4,TE2_END&CONF2_START,1676632876.619413,4,-1
0,CONF2_END&TE3_START,1676632879.842143,-1,1
6,TE3_END&CONF3_START,1676632910.24703,2,-1
0,CONF3_END&TE4_START,1676632912.022436,-1,5
8,TE4_END&CONF4_START,1676633084.763567,3,-1
0,CONF4_END&TE5_START,1676633086.646994,-1,2
10,TE5_END&CONF5_START,1676633109.216106,1,-1
0,CONF5_END,1676633111.153191,-1,4
