,status,ts,ans,confidence
0,EXP_START,1676529210.715159,-1,-1
1,TE1_START,1676529234.839492,-1,-1
2,TE1_END&CONF1_START,1676529316.138387,3,-1
0,CONF1_END&TE2_START,1676529318.905887,-1,4
4,TE2_END&CONF2_START,1676529346.198068,1,-1
0,CONF2_END&TE3_START,1676529348.550194,-1,2
6,TE3_END&CONF3_START,1676529408.277758,4,-1
0,CONF3_END&TE4_START,1676529411.770552,-1,3
8,TE4_END&CONF4_START,1676529518.843806,5,-1
0,CONF4_END&TE5_START,1676529521.410604,-1,2
10,TE5_END&CONF5_START,1676529588.35855,4,-1
0,CONF5_END,1676529589.982228,-1,2
