,status,ts,ans,confidence
0,EXP_START,1676533341.523043,-1,-1
1,TE1_START,1676533357.850193,-1,-1
2,TE1_END&CONF1_START,1676533424.261242,1,-1
0,CONF1_END&TE2_START,1676533426.956933,-1,4
4,TE2_END&CONF2_START,1676533549.283053,3,-1
0,CONF2_END&TE3_START,1676533551.821627,-1,3
6,TE3_END&CONF3_START,1676533645.530868,4,-1
0,CONF3_END&TE4_START,1676533648.458548,-1,4
8,TE4_END&CONF4_START,1676533727.716497,5,-1
0,CONF4_END&TE5_START,1676533729.916995,-1,4
10,TE5_END&CONF5_START,1676533748.513208,3,-1
0,CONF5_END,1676533751.637919,-1,5
