,status,ts,ans,confidence
0,EXP_START,1676546979.830988,-1,-1
1,TE1_START,1676547445.027601,-1,-1
2,TE1_END&CONF1_START,1676547504.21601,3,-1
0,CONF1_END&TE2_START,1676547507.041654,-1,3
4,TE2_END&CONF2_START,1676547548.423154,4,-1
0,CONF2_END&TE3_START,1676547550.647018,-1,3
6,TE3_END&CONF3_START,1676547652.900181,4,-1
0,CONF3_END&TE4_START,1676547654.802611,-1,3
8,TE4_END&CONF4_START,1676547777.351372,5,-1
0,CONF4_END&TE5_START,1676547780.157249,-1,2
10,TE5_END&CONF5_START,1676547866.745867,5,-1
0,CONF5_END,1676547869.392619,-1,2
