,status,ts,ans,confidence
0,EXP_START,1676551557.634727,-1,-1
1,TE1_START,1676551792.610897,-1,-1
2,TE1_END&CONF1_START,1676551847.224286,1,-1
0,CONF1_END&TE2_START,1676551850.04207,-1,2
4,TE2_END&CONF2_START,1676551908.329274,1,-1
0,CONF2_END&TE3_START,1676551910.449755,-1,3
6,TE3_END&CONF3_START,1676552006.718562,4,-1
0,CONF3_END&TE4_START,1676552008.854049,-1,2
8,TE4_END&CONF4_START,1676552109.298804,4,-1
0,CONF4_END&TE5_START,1676552110.963406,-1,3
10,TE5_END&CONF5_START,1676552134.887044,3,-1
0,CONF5_END,1676552136.910916,-1,4
