,status,ts,ans,confidence
0,EXP_START,1676517009.018137,-1,-1
1,TE1_START,1676517024.828378,-1,-1
2,TE1_END&CONF1_START,1676517127.480635,1,-1
0,CONF1_END&TE2_START,1676517129.522097,-1,1
4,TE2_END&CONF2_START,1676517253.603203,3,-1
0,CONF2_END&TE3_START,1676517255.729041,-1,3
6,TE3_END&CONF3_START,1676517370.553206,4,-1
0,CONF3_END&TE4_START,1676517372.008537,-1,1
8,TE4_END&CONF4_START,1676517591.727364,5,-1
0,CONF4_END&TE5_START,1676517593.836868,-1,1
10,TE5_END&CONF5_START,1676517641.077411,3,-1
0,CONF5_END,1676517643.259907,-1,5
