,status,ts,ans,confidence
0,EXP_START,1676856322.441969,-1,-1
1,TE1_START,1676858218.297428,-1,-1
2,TE1_END&CONF1_START,1676858252.984695,4,-1
0,CONF1_END&TE2_START,1676858254.421164,-1,3
4,TE2_END&CONF2_START,1676858328.847028,2,-1
0,CONF2_END&TE3_START,1676858330.982512,-1,1
6,TE3_END&CONF3_START,1676858410.173454,4,-1
0,CONF3_END&TE4_START,1676858412.555997,-1,1
8,TE4_END&CONF4_START,1676858550.201181,2,-1
0,CONF4_END&TE5_START,1676858551.83155,-1,1
10,TE5_END&CONF5_START,1676858648.050349,3,-1
0,CONF5_END,1676858650.555917,-1,1
